Longitude;Latitude;Lote;Conjunto de datos;Producto;Id obj.;Distancia(m);Curso(deg);Duración(s);Elevación(m);Tiempo;Cuenta de área;Anch. de fja.(m);Desviación Y(m);Flj cultivos(M)(tonne/h);Humedad(%);Masa de rend.(húmedo)(tonne/ha);(húmedo)Vol. Rend. (húmedo)(L/ha);(seco)Masa de rend.(tonne/ha);Vol. de rend.(seco)(L/ha);Humedad(%);Temp. aire(°C);Velocidad del viento(km/h);Temp. suelo(°C);Num. de paso;Velocidad(km/h);Prod.(ha/h);Flj cultivos(V)(m³/s);Fecha
-56,56145554;-33,76543370;Sauce Chico;Harvest;1;1;0,181;337,01;1,000;153,80;21/11/2023;Activado;10,67;0,00;15,28;0,00;21,97;32826;21,97;32826;0,00;-17,78;0,00;-17,78;1;0,652;0,695;0,0063;21/11/2023
-56,56145771;-33,76542882;Sauce Chico;Harvest;1;2;0,581;337,60;1,000;153,80;21/11/2023;Activado;10,67;0,00;15,28;0,00;6,848;10229;6,848;10229;0,00;-17,78;0,00;-17,78;1;2,092;2,232;0,0063;21/11/2023
-56,56146144;-33,76542208;Sauce Chico;Harvest;1;3;0,821;337,13;1,000;153,81;21/11/2023;Activado;10,67;0,00;15,28;0,00;4,846;7239,4;4,846;7239,4;0,00;-17,78;0,00;-17,78;1;2,956;3,153;0,0063;21/11/2023
-56,56146548;-33,76541511;Sauce Chico;Harvest;1;4;0,861;336,61;1,000;153,80;21/11/2023;Activado;10,67;0,00;15,28;0,00;4,621;6903,1;4,621;6903,1;0,00;-17,78;0,00;-17,78;1;3,100;3,307;0,0063;21/11/2023
-56,56147058;-33,76540674;Sauce Chico;Harvest;1;5;1,041;335,78;1,000;153,82;21/11/2023;Activado;10,67;0,00;28,84;0,00;7,212;10774;7,212;10774;0,00;-17,78;0,00;-17,78;1;3,748;3,998;0,012;21/11/2023
-56,56147686;-33,76539791;Sauce Chico;Harvest;1;6;1,141;334,07;1,000;153,84;21/11/2023;Activado;10,67;0,00;26,32;0,00;6,005;8970,4;6,005;8970,4;0,00;-17,78;0,00;-17,78;1;4,108;4,382;0,011;21/11/2023
-56,56148374;-33,76538892;Sauce Chico;Harvest;1;7;1,181;332,31;1,000;153,85;21/11/2023;Activado;10,67;0,00;28,44;0,00;6,270;9366,1;6,270;9366,1;0,00;-17,78;0,00;-17,78;1;4,252;4,536;0,012;21/11/2023
-56,56149095;-33,76538008;Sauce Chico;Harvest;1;8;1,191;330,53;1,000;153,85;21/11/2023;Activado;10,67;0,00;23,24;0,00;5,080;7588,1;5,080;7588,1;0,00;-17,78;0,00;-17,78;1;4,288;4,574;0,0096;21/11/2023
-56,56149869;-33,76537137;Sauce Chico;Harvest;1;9;1,201;328,64;1,000;153,85;21/11/2023;Activado;10,67;0,00;25,24;0,00;5,471;8172,6;5,471;8172,6;0,00;-17,78;0,00;-17,78;1;4,324;4,613;0,010;21/11/2023
-56,56150680;-33,76536284;Sauce Chico;Harvest;1;10;1,211;326,81;1,000;153,83;21/11/2023;Activado;10,67;0,00;27,04;0,00;5,813;8683,2;5,813;8683,2;0,00;-17,78;0,00;-17,78;1;4,360;4,651;0,011;21/11/2023
-56,56151506;-33,76535446;Sauce Chico;Harvest;1;11;1,201;325,24;1,000;153,84;21/11/2023;Activado;10,67;0,00;30,74;0,00;6,665;9956,3;6,665;9956,3;0,00;-17,78;0,00;-17,78;1;4,324;4,613;0,013;21/11/2023
-56,56152374;-33,76534607;Sauce Chico;Harvest;1;12;1,231;323,65;1,000;153,85;21/11/2023;Activado;10,67;0,00;30,74;0,00;6,503;9713,7;6,503;9713,7;0,00;-17,78;0,00;-17,78;1;4,432;4,728;0,013;21/11/2023
-56,56153249;-33,76533673;Sauce Chico;Harvest;1;13;1,311;322,84;1,000;153,88;21/11/2023;Activado;10,67;0,00;34,42;0,00;6,835;10210;6,835;10210;0,00;-17,78;0,00;-17,78;1;4,720;5,035;0,014;21/11/2023
-56,56154024;-33,76532666;Sauce Chico;Harvest;1;14;1,331;324,06;1,000;153,88;21/11/2023;Activado;10,67;0,00;34,42;0,00;6,732;10057;6,732;10057;0,00;-17,78;0,00;-17,78;1;4,792;5,112;0,014;21/11/2023
-56,56154760;-33,76531638;Sauce Chico;Harvest;1;15;1,331;325,50;1,000;153,89;21/11/2023;Activado;10,67;0,00;37,08;0,00;7,254;10835;7,254;10835;0,00;-17,78;0,00;-17,78;1;4,792;5,112;0,015;21/11/2023
-56,56155471;-33,76530581;Sauce Chico;Harvest;1;16;1,341;326,76;1,000;153,89;21/11/2023;Activado;10,67;0,00;34,90;0,00;6,776;10121;6,776;10121;0,00;-17,78;0,00;-17,78;1;4,828;5,150;0,014;21/11/2023
-56,56156231;-33,76529550;Sauce Chico;Harvest;1;17;1,341;327,17;1,000;153,89;21/11/2023;Activado;10,67;0,00;35,57;0,00;6,906;10317;6,906;10317;0,00;-17,78;0,00;-17,78;1;4,828;5,150;0,015;21/11/2023
